Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Month,Day,Hour,DayOfWeek
THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,113,1.0,42.0,32.0,2004,9,10,12,Friday
BATTERY,"SCHOOL, PUBLIC, BUILDING",False,False,935,9.0,11.0,61.0,2004,3,25,10,Thursday
PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, BUILDING",False,False,935,9.0,11.0,61.0,2004,3,29,11,Monday
THEFT,RESIDENCE,False,False,913,9.0,12.0,58.0,2004,1,1,9,Thursday
BATTERY,"SCHOOL, PUBLIC, BUILDING",False,False,935,9.0,11.0,61.0,2004,3,24,11,Wednesday
THEFT,BANK,False,False,2534,25.0,30.0,23.0,2004,9,30,9,Thursday
THEFT,OTHER,True,False,2412,24.0,50.0,2.0,2004,8,21,9,Saturday
THEFT,RESIDENCE,False,False,532,5.0,9.0,53.0,2004,7,5,0,Monday
THEFT,RESIDENCE,False,False,421,4.0,7.0,43.0,2003,10,28,16,Tuesday
OTHER OFFENSE,HOSPITAL BUILDING/GROUNDS,False,False,1224,12.0,2.0,28.0,2003,6,9,12,Monday
THEFT,RESIDENCE,False,False,814,8.0,23.0,56.0,2003,6,12,17,Thursday
THEFT,RESIDENCE,False,False,511,5.0,8.0,50.0,2002,9,15,9,Sunday
SEX OFFENSE,RESIDENCE,False,False,414,4.0,8.0,45.0,2002,6,1,0,Saturday
BATTERY,STREET,False,False,922,9.0,11.0,59.0,2004,5,5,15,Wednesday
THEFT,RESIDENCE,False,False,1024,10.0,22.0,30.0,2003,9,1,16,Monday
NARCOTICS,OTHER,True,False,712,7.0,16.0,68.0,2004,8,30,13,Monday
THEFT,RESIDENCE,False,False,2324,19.0,46.0,6.0,2004,11,20,9,Saturday
THEFT,RESIDENCE,False,False,211,2.0,2.0,35.0,2003,12,1,0,Monday
NARCOTICS,OTHER,True,False,723,7.0,6.0,68.0,2004,11,21,2,Sunday
GAMBLING,OTHER,True,False,723,7.0,17.0,68.0,2004,10,9,17,Saturday
NARCOTICS,OTHER,True,False,733,7.0,17.0,68.0,2004,12,21,12,Tuesday
THEFT,RESIDENCE,False,False,511,5.0,8.0,50.0,2004,8,1,9,Sunday
PROSTITUTION,OTHER,True,False,714,7.0,16.0,67.0,2004,12,29,21,Wednesday
NARCOTICS,STREET,True,False,735,7.0,17.0,67.0,2004,2,5,0,Thursday
NARCOTICS,STREET,True,False,714,7.0,15.0,67.0,2004,1,26,22,Monday
NARCOTICS,STREET,True,False,734,7.0,17.0,67.0,2004,2,21,2,Saturday
LIQUOR LAW VIOLATION,STREET,True,False,724,7.0,16.0,68.0,2004,2,27,0,Friday
NARCOTICS,OTHER,True,False,714,7.0,15.0,67.0,2004,3,1,14,Monday
NARCOTICS,STREET,True,False,723,7.0,17.0,68.0,2004,4,13,0,Tuesday
NARCOTICS,STREET,True,False,712,7.0,16.0,68.0,2004,4,16,21,Friday
NARCOTICS,STREET,True,False,733,7.0,17.0,68.0,2004,5,2,0,Sunday
NARCOTICS,OTHER,True,False,732,7.0,6.0,68.0,2004,5,7,15,Friday
NARCOTICS,OTHER,True,False,725,7.0,15.0,67.0,2004,5,14,14,Friday
NARCOTICS,STREET,True,False,733,7.0,6.0,68.0,2004,6,3,1,Thursday
NARCOTICS,OTHER,True,False,711,7.0,20.0,68.0,2004,6,9,19,Wednesday
NARCOTICS,OTHER,True,False,712,7.0,16.0,68.0,2004,6,23,2,Wednesday
NARCOTICS,OTHER,True,False,712,7.0,16.0,68.0,2004,6,25,0,Friday
NARCOTICS,OTHER,True,False,735,7.0,17.0,67.0,2004,7,4,0,Sunday
GAMBLING,OTHER,True,False,734,7.0,17.0,67.0,2004,7,11,19,Sunday
NARCOTICS,OTHER,True,False,713,7.0,16.0,67.0,2004,7,20,23,Tuesday
NARCOTICS,OTHER,True,False,725,7.0,17.0,67.0,2004,10,23,9,Saturday
NARCOTICS,OTHER,True,False,712,7.0,20.0,68.0,2004,8,26,17,Thursday
NARCOTICS,OTHER,True,False,715,7.0,15.0,67.0,2004,10,28,1,Thursday
NARCOTICS,OTHER,True,False,715,7.0,15.0,67.0,2004,8,27,15,Friday
NARCOTICS,OTHER,True,False,722,7.0,6.0,68.0,2004,11,6,23,Saturday
NARCOTICS,OTHER,True,False,712,7.0,16.0,68.0,2004,8,31,13,Tuesday
NARCOTICS,OTHER,True,False,735,7.0,17.0,67.0,2004,11,27,21,Saturday
NARCOTICS,OTHER,True,False,725,7.0,15.0,67.0,2004,9,2,21,Thursday
NARCOTICS,OTHER,True,False,713,7.0,16.0,67.0,2004,11,30,9,Tuesday
NARCOTICS,OTHER,True,False,713,7.0,16.0,67.0,2004,9,3,3,Friday
PROSTITUTION,OTHER,True,False,714,7.0,16.0,67.0,2004,11,30,21,Tuesday
NARCOTICS,OTHER,True,False,722,7.0,20.0,68.0,2004,9,9,0,Thursday
NARCOTICS,OTHER,True,False,713,7.0,16.0,67.0,2004,9,14,18,Tuesday
NARCOTICS,OTHER,True,False,733,7.0,17.0,68.0,2004,11,30,21,Tuesday
NARCOTICS,OTHER,True,False,711,7.0,16.0,68.0,2004,11,30,22,Tuesday
NARCOTICS,OTHER,True,False,713,7.0,16.0,67.0,2004,9,14,21,Tuesday
NARCOTICS,APARTMENT,True,False,711,7.0,20.0,68.0,2004,12,5,4,Sunday
NARCOTICS,OTHER,True,False,712,7.0,16.0,68.0,2004,9,15,13,Wednesday
NARCOTICS,OTHER,True,False,714,7.0,15.0,67.0,2004,9,20,13,Monday
NARCOTICS,OTHER,True,False,621,6.0,17.0,69.0,2004,12,5,20,Sunday
NARCOTICS,OTHER,True,False,735,7.0,17.0,67.0,2004,9,24,12,Friday
NARCOTICS,OTHER,True,False,712,7.0,16.0,68.0,2004,12,11,19,Saturday
